id	name	def	synonyms	is_a	xrefs
CHEMONTID:0000013	Amino acids, peptides, and analogues	"Organic compounds containing an amino acid or a peptide backbone, or derivatives thereof."" []"	"['amino acid"" NARROW ChEBI_TERM [CHEBI:33709]', 'Amino Acids, Peptides, and Proteins"" RELATED MeSH_TERM [MESH:D12]', 'organooxygen compound"" BROAD ChEBI_TERM [CHEBI:36963]', 'peptide"" NARROW ChEBI_TERM [CHEBI:16670]']"	CHEMONTID:0000265	
CHEMONTID:0000014	Phenylbutylamines	"Compounds containing a phenylbutylamine moiety, which consists of a phenyl group substituted at the fourth carbon by an butan-1-amine."" []"	"['benzenes"" BROAD ChEBI_TERM [CHEBI:22712]', 'organic amino compound"" BROAD ChEBI_TERM [CHEBI:50047]']"	CHEMONTID:0002279	
CHEMONTID:0000015	Dibenzofurans	"Compounds containing a dibenzofuran moiety, which consists of two benzene rings fused to a central furan ring."" []"	"['dibenzofurans"" RELATED ChEBI_TERM [CHEBI:38922]']"	CHEMONTID:0000301	['Wikipedia:Dibenzofuran']
CHEMONTID:0000016	Allenes	"Compounds in which one carbon atom has double bonds with each of its two adjacent carbon centers. The definition includes both the hydrocarbon molecules and their derivatives obtained by substitution."" [ISBN:0967855098]"	"['allenes"" RELATED ChEBI_TERM [CHEBI:37602]']"	CHEMONTID:0000000	"['ISBN:0967855098 ""IUPAC. Compendium of Chemical Terminology, 2nd ed. (the \'Gold Book\'). Compiled by A. D. McNaught and A. Wilkinson. Blackwell Scientific Publications, Oxford (1997). ISBN:0967855098', 'Wikipedia:Allene']"
CHEMONTID:0000017	Cycloalkenes	"Unsaturated monocyclic hydrocarbons having one endocyclic double bond."" []"	"['cyclic olefin"" RELATED ChEBI_TERM [CHEBI:33642]']"	CHEMONTID:0002840	['wikipedia:Cycloalkene']
CHEMONTID:0000018	Anthracenes	"Organic compounds containing a system of three linearly fused benzene rings."" [Wikipedia:Anthracene]"	"['anthracenes"" RELATED ChEBI_TERM [CHEBI:46955]', 'Anthracenes"" RELATED MeSH_TERM [MESH:D000873, MESH:D02.455.426.559.847.117, MESH:D04.615.117]']"	CHEMONTID:0002448	['Wikipedia:Anthracenes']
CHEMONTID:0000019	Dibenzocycloheptenes	"Compounds containing a dibenzocycloheptene moiety, which consists of two benzene rings connected by a cycloheptene ring."" []"	"['dibenzannulene"" RELATED ChEBI_TERM [CHEBI:83584]', 'Dibenzocycloheptenes"" RELATED MeSH_TERM [MESH:D003986, MESH:D02.455.426.559.847.181.384, MESH:D04.615.181.384]']"	CHEMONTID:0002448	['Wikipedia:Category\\:Dibenzocycloheptenes']
CHEMONTID:0000020	Fluorenes	"Compounds containing a fluorene moiety, which consists of two benzene rings connected through either a cyclopentane, cyclopentene, or cyclopenta-1,3-diene."" []"	"['fluorenes"" RELATED ChEBI_TERM [CHEBI:24059]']"	CHEMONTID:0002448	
CHEMONTID:0000021	Indenes and isoindenes	"Compounds containing an indene moiety(which consists of a cyclopentadiene fused to a benzene ring), or a isoindene moiety (which consists of a cyclopentadiene fused to cyclohexadiene ring)."" []"	"['indene"" RELATED ChEBI_TERM [CHEBI:37910]']"	CHEMONTID:0002448	['Wikipedia:Category\\:Indenes']
CHEMONTID:0000022	Naphthacenes	"Compounds containing a naphthacene moiety, which is a polyaromatic hydrocarbon made of four linearly fused benzene rings."" []"	"['Naphthacenes"" RELATED MeSH_TERM [MESH:D009279, MESH:D02.455.426.559.847.562, MESH:D04.615.562]', 'tetracenes"" RELATED ChEBI_TERM [CHEBI:51270]']"	CHEMONTID:0002448	
CHEMONTID:0000023	Naphthalenes	"Compounds containing a naphthalene moiety, which consists of two fused benzene rings."" []"	"['naphthalenes"" RELATED ChEBI_TERM [CHEBI:25477]', 'Naphthalenes"" RELATED MeSH_TERM [MESH:D009281, MESH:D02.455.426.559.847.638, MESH:D04.615.638]']"	CHEMONTID:0002448	['Wikipedia:Category\\:Naphthalenes']
CHEMONTID:0000024	Pentacenes	"Compounds containing a pentacene moiety, which is consists of five linearly fused benzene rings."" [Wikipedia:Pentacene]"	"['pentacenes"" RELATED ChEBI_TERM [CHEBI:51271]']"	CHEMONTID:0002448	
CHEMONTID:0000025	Phenanthrenes and derivatives	"Polycyclic compounds containing a phenanthrene moiety, which is a tricyclic aromatic compound with three non-linearly fused benzene."" []"	"['phenanthrenes"" RELATED ChEBI_TERM [CHEBI:25961]', 'Phenanthrenes"" RELATED MeSH_TERM [MESH:D010616, MESH:D02.455.426.559.847.723, MESH:D04.615.723]']"	CHEMONTID:0002448	
CHEMONTID:0000026	Purine ribonucleoside bisphosphates	"Purine Ribonucleotides in which the ribose sugar esterified with one phosphate group attached to each of two different hydroxy groups on the sugar, usually at positions 2', 3', or 5'."" []"	"['purine ribonucleoside bisphosphate"" EXACT ChEBI_TERM [CHEBI:64620]']"	CHEMONTID:0001544	
CHEMONTID:0000027	Indanes	"Compounds containing an indane moiety, which consists of a cyclopentane fused to a benzene ring."" []"	"['indanes"" RELATED ChEBI_TERM [CHEBI:46940]']"	CHEMONTID:0002448	
CHEMONTID:0000028	Pyridoxals and derivatives	"Compounds containing a pyridoxal moiety, which consists of a pyridine ring substituted at positions 2,3,4, and 5 by a methyl group, a hydroxyl group, a carbaldehyde group, and a hydroxymethyl group, respectively."" []"	"['pyridinecarbaldehyde"" RELATED ChEBI_TERM [CHEBI:38187]']"	CHEMONTID:0002212	
CHEMONTID:0000029	Cinnamaldehydes	"Organic aromatic compounds containing a cinnamlaldehyde moiety, consisting of a benzene and an aldehyde group to form 3-phenylprop-2-enal."" []"	"['cinnamaldehydes"" BROAD ChEBI_TERM [CHEBI:23245]']"	CHEMONTID:0000261	
CHEMONTID:0000030	Hydroxyeicosatrienoic acids	"Eicosanoic acids with an attached hydroxyl group and three CC double bonds."" []"	"['hydroxy fatty acid"" BROAD ChEBI_TERM [CHEBI:24654]', 'Hydroxy/hydroperoxyeicosatrienoic acids"" BROAD LIPIDMAPS_TERM [LIPIDMAPS:FA0305]', 'polyunsaturated fatty acid"" BROAD ChEBI_TERM [CHEBI:26208]']"	CHEMONTID:0000513	
CHEMONTID:0000031	Benzenesulfonamides	"Organic compounds containing a sulfonamide group that is S-linked to a benzene ring."" []"	"['sulfonamide"" BROAD ChEBI_TERM [CHEBI:35358]', 'Sulfonamides"" BROAD MeSH_TERM [MESH:D02.065.884]']"	CHEMONTID:0002279	
CHEMONTID:0000032	Benzenesulfonic acids and derivatives	"Organic compounds containing a sulfonic acid or a derivative thereof that is linked to a benzene ring."" []"	"['Benzenesulfonates"" RELATED MeSH_TERM [MESH:D001557, MESH:D02.455.426.559.389.097, MESH:D02.886.645.600.080.050.100]', 'organosulfur compound"" BROAD ChEBI_TERM [CHEBI:33261]', 'sulfonic acid derivative"" BROAD ChEBI_TERM [CHEBI:33552]']"	CHEMONTID:0002279	
CHEMONTID:0000033	Benzyl alcohols	"Organic compounds containing the phenylmethanol substructure."" []"	"['benzyl alcohols"" EXACT ChEBI_TERM [CHEBI:22743]', 'Benzyl Alcohols"" EXACT MeSH_TERM [MESH:D02.033.160]', 'Benzyl Alcohols"" EXACT CHEMONT_TERM []']"	CHEMONTID:0002279	
CHEMONTID:0000034	Sulfobenzoic acids	"Benzoic acids carrying a sulfonyl group on the benzene ring."" []"	"['arenesulfonic acid"" BROAD ChEBI_TERM [CHEBI:33555]', 'Benzoates"" BROAD MeSH_TERM [MESH:D02.241.223.100]', 'benzoic acids"" BROAD ChEBI_TERM [CHEBI:22723]']"	CHEMONTID:0000032	
CHEMONTID:0000035	Halobenzenes	"Aromatic compounds containing a halogen atom linked to a benzene ring."" []"	"['benzenes"" BROAD ChEBI_TERM [CHEBI:22712]', 'organohalogen compound"" BROAD ChEBI_TERM [CHEBI:36684]']"	CHEMONTID:0002279	
CHEMONTID:0000036	Nitrobenzenes	"Compounds containing a nitrobenzene moiety, which consists of a benzene ring with a carbon bearing a nitro group."" []"	"['Nitrobenzenes"" EXACT MeSH_TERM [MESH:D009578, MESH:D02.455.426.559.389.565, MESH:D02.640.529]', 'nitrobenzenes"" EXACT ChEBI_TERM [CHEBI:48109]', 'Nitrobenzyl compounds"" EXACT CHEMONT_TERM []']"	CHEMONTID:0002279	
CHEMONTID:0000037	Styrenes	"Organic compounds containing an ethenylbenzene moiety."" []"	"['styrenes"" RELATED ChEBI_TERM [CHEBI:26799]', 'Styrenes"" RELATED MeSH_TERM [MESH:D013343, MESH:D02.455.426.559.389.150.750]']"	CHEMONTID:0002279	
CHEMONTID:0000038	Sulfanilides	"Organic aromatic compounds containing a sulfanilide moiety, with the general structure RS(=O)(=O)NC1=CC=CC=C1."" []"	"['a sulfanilide"" EXACT CHEMONT_TERM []', 'a sulfonanilide"" EXACT CHEMONT_TERM []', 'sulfonamide"" BROAD ChEBI_TERM [CHEBI:35358]', 'Sulfonanilides"" EXACT CHEMONT_TERM []']"	CHEMONTID:0002279	
CHEMONTID:0000039	Sulfamic acid derivatives	"Organic compounds containing a sulfamic acid moiety or a derivative, with the general structure R1N(R2)S(=O)2OR3  (R1,R2,R3=H, alkyl, aryl)."" []"	"['sulfur oxoacid derivative"" BROAD ChEBI_TERM [CHEBI:33424]']"	CHEMONTID:0000264	
CHEMONTID:0000040	Indanediones	"Compounds containing an indane ring bearing two ketone groups."" []"	"['cyclic ketone"" BROAD ChEBI_TERM [CHEBI:3992]', 'indanones"" BROAD ChEBI_TERM [CHEBI:24789]']"	CHEMONTID:0001151	
CHEMONTID:0000041	Biphenyls and derivatives	"Organic compounds containing to benzene rings linked together by a C-C bond."" []"	"['Biphenyl Compounds"" RELATED MeSH_TERM [MESH:D001713, MESH:D02.455.426.559.389.185]', 'biphenyls"" RELATED ChEBI_TERM [CHEBI:22888]', 'Diphenyl ethers, biphenyls, dibenzyls and stilbenes"" RELATED LIPIDMAPS_TERM [LIPIDMAPS:PK1309]', 'Phenyl Ethers"" BROAD MeSH_TERM [MESH:D02.355.726]']"	CHEMONTID:0002279	
CHEMONTID:0000042	Diphenhydramines	"Cyclic aromatic compounds containing a diphenhydramine moiety, which consists of a diphenylmethoxyl group like to an ethyldimethylamine to form [2-(diphenylmethoxy)ethyl]dimethylamine."" []"	"['ether"" BROAD ChEBI_TERM [CHEBI:25698]', 'tertiary amino compound"" BROAD ChEBI_TERM [CHEBI:50996]']"	CHEMONTID:0002279	
CHEMONTID:0000043	Biphenylbenzimidazoles	"Organic compounds containing a biphenyl attached to a benzimidazole. A carbon atom of the biphenyl moiety is boned to a carbon or the nitrogen atom of the benzimidazole moiety."" []"	"['benzimidazoles"" BROAD ChEBI_TERM [CHEBI:22715]', 'biphenyls"" BROAD ChEBI_TERM [CHEBI:22888]']"	CHEMONTID:0000330	
CHEMONTID:0000044	Biphenyltetrazoles and derivatives	"Organic compounds containing a biphenyl attached to a tetrazole. A carbon atom of the biphenyl moiety is boned to a carbon or the nitrogen atom of the tetrazole moiety."" []"	"['biphenyls"" BROAD ChEBI_TERM [CHEBI:22888]', 'tetrazoles"" BROAD ChEBI_TERM [CHEBI:35689]']"	CHEMONTID:0000306	
CHEMONTID:0000045	Phenylpropenes	"Compounds containing a phenylpropene moiety, which consists of a propene substituent bound to a phenyl group."" []"	"['benzenes"" BROAD ChEBI_TERM [CHEBI:22712]', 'olefinic compound"" BROAD ChEBI_TERM [CHEBI:78840]']"	CHEMONTID:0002279	
CHEMONTID:0000046	Hydroxyeicosatetraenoic acids	"Eicosanoic acids with an attached hydroxyl group and four CC double bonds."" []"	"['hydroxy fatty acid"" BROAD ChEBI_TERM [CHEBI:24654]', 'Hydroxy/hydroperoxyeicosatetraenoic acids"" BROAD LIPIDMAPS_TERM [LIPIDMAPS:FA0306]', 'Hydroxyeicosatetraenoic Acids"" EXACT MeSH_TERM [MESH:D10.251.355.255.100.300]', 'polyunsaturated fatty acid"" BROAD ChEBI_TERM [CHEBI:26208]']"	CHEMONTID:0000513	
CHEMONTID:0000047	Podophyllotoxins	"Tetralin lignans in which the benzene moiety of the tetralin skeleton is fused to a 1,3-dioxolane and the cyclohexane is fused to a butyrolactone (pyrrolidin-2-one)."" []"	"['furonaphthodioxole"" BROAD ChEBI_TERM [CHEBI:50307]', 'Lignans"" BROAD MeSH_TERM [MESH:D02.455.426.559.389.140.450]']"	CHEMONTID:0001510	
CHEMONTID:0000048	Tetralins	"Polycyclic aromatic compounds containing a tetralin moiety, which consists of a benzene fused to a cyclohexane."" [Wikipedia:Tetralins]"	"['Tetrahydronaphthalenes"" RELATED MeSH_TERM [MESH:D013764, MESH:D02.455.426.559.847.638.960, MESH:D04.615.638.960]', 'tetralins"" RELATED ChEBI_TERM [CHEBI:36786]']"	CHEMONTID:0002448	"['Wikipedia:Category\\:Tetralins ""List of Pages in category \\""Tetralins\\']"
CHEMONTID:0000049	Tametralines	"Compounds containing a tametraline moiety, which consists of a tetrahydronaphthalene linked to a phenyl group to form N-methyl-4-phenyl-1,2,3,4-tetrahydronaphthalen-1-amine skeleton."" []"	"['tetralins"" BROAD ChEBI_TERM [CHEBI:36786]']"	CHEMONTID:0000048	
CHEMONTID:0000050	Lactones	"Cyclic esters of hydroxy carboxylic acids, containing a 1-oxacycloalkan-2-one structure, or analogues having unsaturation or heteroatoms replacing one or more carbon atoms of the ring."" []"	"['a lactone"" EXACT CHEMONT_TERM []', 'lactone"" EXACT ChEBI_TERM [CHEBI:25000]', 'lactones"" EXACT IUPAC_TERM []', 'Lactones"" EXACT MeSH_TERM [MESH:D007783, MESH:D02.540]']"	CHEMONTID:0000002	
CHEMONTID:0000051	Aromatic monoterpenoids	"Monoterpenoids containing at least one aromatic ring."" []"	"['C10 isoprenoids (monoterpenes)"" BROAD LIPIDMAPS_TERM [LIPIDMAPS:PR0102]', 'monoterpenoid"" EXACT ChEBI_TERM [CHEBI:25409]']"	CHEMONTID:0001549	
CHEMONTID:0000052	Brominated biphenyls	"Organic compounds containing a biphenyl moiety substituted at one or more positions by a bromine atom."" []"	"['biphenyls"" BROAD ChEBI_TERM [CHEBI:22888]', 'Bromobiphenyls"" EXACT CHEMONT_TERM []', 'organobromine compound"" BROAD ChEBI_TERM [CHEBI:37141]']"	CHEMONTID:0000041	
CHEMONTID:0000053	Aminoquinolines and derivatives	"Organic compounds containing an amino group attached to a quinoline ring system."" []"	"['aminoquinoline"" RELATED ChEBI_TERM [CHEBI:36709]', 'Aminoquinolines"" EXACT MeSH_TERM [MESH:D03.438.810.050]']"	CHEMONTID:0001253	
CHEMONTID:0000054	Benzylisoquinolines	"Organic compounds containing an isoquinoline to which a benzyl group is attached."" []"	"['Benzylisoquinolines"" EXACT CHEMONT_TERM []', 'isoquinolines"" BROAD ChEBI_TERM [CHEBI:24922]']"	CHEMONTID:0002566	"['DOI:10.1039/b111626f ""Kenneth W. Bentley (2003). Beta-Phenylethylamines and the isoquinoline alkaloids. Nat. Prod. Rep., 20, 342-365']"
CHEMONTID:0000055	Dibenzothiazepines	"Compounds containing a dibenzothiazepine moiety, which consists of two benzene connected by a thiazepine ring."" []"	"['dibenzothiazepine"" EXACT ChEBI_TERM [CHEBI:39268]', 'Dibenzothiazepines"" EXACT MeSH_TERM [MESH:D003987, MESH:D02.886.680.702.500, MESH:D03.494.276]']"	CHEMONTID:0000317	"['Wikipedia:Category\\:Dibenzothiazepines ""List of Pages in the category \\""Dibenzothiazpines\\']"
CHEMONTID:0000056	Quinolones and derivatives	"Compounds containing a quinoline moiety which bears a ketone group."" []"	"['quinolone"" RELATED ChEBI_TERM [CHEBI:23765]', 'Quinolones"" RELATED MeSH_TERM [MESH:D015363, MESH:D03.438.810.835]']"	CHEMONTID:0001253	
CHEMONTID:0000057	Hydroxyquinolines	"Compounds containing a quinoline moiety bearing a hydroxyl group."" []"	"['hydroxyquinoline"" RELATED ChEBI_TERM [CHEBI:38774]', 'Hydroxyquinolines"" EXACT MeSH_TERM [MESH:D006912, MESH:D03.438.810.350]']"	CHEMONTID:0001253	
CHEMONTID:0000058	Morphinans	"Polycyclic compounds with a four-ring skeleton with three condensed six-member rings forming a partially hydrogenated phenanthrene moiety, one of which is aromatic while the two others are alicyclic."" []"	"['morphinane alkaloid"" EXACT ChEBI_TERM [CHEBI:25418]', 'Morphinans"" EXACT CHEMONT_TERM []']"	CHEMONTID:0000279	
CHEMONTID:0000059	Coumaric acids and derivatives	"Aromatic compounds containing Aromatic compounds containing a cinnamic acid moiety (or a derivative thereof) hydroxylated at the C2 (ortho-), C3 (meta-), or C4 (para-) carbon atom of the benzene ring."" []"	"['hydroxycinnamic acid"" BROAD ChEBI_TERM [CHEBI:24689]']"	CHEMONTID:0001391	
CHEMONTID:0000060	Alpha amino acids and derivatives	"Amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon), or a derivative thereof."" []"	"['organonitrogen compound"" BROAD ChEBI_TERM [CHEBI:35352]', 'organooxygen compound"" BROAD ChEBI_TERM [CHEBI:36963]']"	CHEMONTID:0000347	
CHEMONTID:0000061	Indoloquinolines	"Polycyclic aromatic compounds containing an indole fused to a quinoline."" []"	"['organic heterotetracyclic compound"" BROAD ChEBI_TERM [CHEBI:38163]', 'organonitrogen heterocyclic compound"" BROAD ChEBI_TERM [CHEBI:38101]']"	CHEMONTID:0001253	
CHEMONTID:0000062	2-sulfobenzoic acids	"Sulfobenzoic acid carrying the sulfonyl group at the 2-position of the benzene group."" []"	"['Benzoates"" BROAD MeSH_TERM [MESH:D02.241.223.100]', 'sulfobenzoic acid"" BROAD ChEBI_TERM [CHEBI:26825]']"	CHEMONTID:0000034	
CHEMONTID:0000063	Nitrate esters	"Compounds containing a nitrate ester functional group, with the general structure RON+(=O)O, (R cannot be a hydrogen)."" []"	"['nitrate ester"" EXACT ChEBI_TERM [CHEBI:51080]']"	CHEMONTID:0000488	['Wikipedia:Nitrate_ester']
CHEMONTID:0000064	Macrolactams	"Cyclic amides of amino carboxylic acids, having a 1-azacycloalkan-2-one structure, or analogues having unsaturation or heteroatoms replacing one or more carbon atoms of the ring.  They are nitrogen analogues (the a nitrogen atom replacing the o atom of the cyclic carboxylic acid group ) of the naturally occurring macrolides."" []"	"['azamacrocycle"" BROAD ChEBI_TERM [CHEBI:52898]']"	CHEMONTID:0000261	
CHEMONTID:0000065	Arsoles	"Organic compounds containing an arsacyclopentadiene ring (a five member ring with one arsenic atom, four carbon atoms, and two double bonds)."" []"	"['arsoles"" RELATED ChEBI_TERM [CHEBI:38414]']"	CHEMONTID:0002052	
CHEMONTID:0000066	Oxazepines	"Compounds containing an oxazepine moiety, which consists of an unsaturated aliphatic seven-member ring with one oxygen atom, a nitrogen atom, and five carbon atoms. Isomers  of oxazepine include 1,2-oxazepine, 1,3-oxazepine,and 1,4-oxazepine."" []"	"['organonitrogen heterocyclic compound"" BROAD ChEBI_TERM [CHEBI:38101]', 'oxacycle"" BROAD ChEBI_TERM [CHEBI:38104]', 'Oxazepines"" EXACT MeSH_TERM [MESH:D010077, MESH:D03.383.066.498]']"	CHEMONTID:0000002	
CHEMONTID:0000067	Pyrazines	"Compounds containing a pyrazine ring, which is a six-member aromatic heterocycle, that consists of two nitrogen atoms (at positions 1 and 4) and four carbon atoms."" []"	"['pyrazines"" RELATED ChEBI_TERM [CHEBI:38314]', 'Pyrazines"" EXACT MeSH_TERM [MESH:D011719, MESH:D03.383.679]']"	CHEMONTID:0001346	
CHEMONTID:0000068	Thiazepines	"Heterocyclic compounds containing a seven-member aromatic ring with five carbon atoms, one sulfur atom, and one nitrogen atom."" []"	"['a thiazepine"" EXACT CHEMONT_TERM []', 'thiazepine"" RELATED ChEBI_TERM [CHEBI:48893]']"	CHEMONTID:0000002	
CHEMONTID:0000069	Azepines	"Organic compounds containing an unsaturated seven-member heterocycle with one nitrogen atom replacing a carbon atom."" []"	"['azepine"" RELATED ChEBI_TERM [CHEBI:48105]', 'Azepines"" EXACT MeSH_TERM [MESH:D001381, MESH:D03.383.066]']"	CHEMONTID:0000002	
CHEMONTID:0000070	Oxetanes	"Compounds containing an oxetane ring, which is a four-member saturated aliphatic ring with an oxygen, and three carbon atoms."" []"	"['oxetanes"" RELATED ChEBI_TERM [CHEBI:38784]']"	CHEMONTID:0000002	
CHEMONTID:0000071	Diazepines	"Organic compounds containing a seven-member heterocyclic moiety with five nitrogen atoms, and two nitrogen atoms at positions 1 and 2 (1,2-Diazepines), 1 and 3 (1,3-Diazepines), or 1 and 4 (1,4-Diazepines)."" []"	"['diazepine"" RELATED ChEBI_TERM [CHEBI:47918]']"	CHEMONTID:0000002	['Wikipedia:Diazepine']
CHEMONTID:0000072	Dibenzodiazepines	"Compounds containing a dibenzodiazepine moiety, which consists of two benzene connected by diazepine ring."" []"	"['dibenzodiazepine"" RELATED ChEBI_TERM [CHEBI:64051]']"	CHEMONTID:0000295	['Wikipedia:Category\\:Dibenzodiazepines']
CHEMONTID:0000073	Oxetenes	"Compounds containing an oxetene ring, which is a four-member unsaturated aliphatic ring with an oxygen, three carbon atoms, and one CC double bond."" []"	"['oxetenes"" RELATED ChEBI_TERM [CHEBI:51194]']"	CHEMONTID:0000002	
CHEMONTID:0000074	Pyridazines and derivatives	"Compounds containing a pyridazine ring, which is a six-member aromatic ring containing two nitrogen atoms at positions 1 and 2, and four carbon atoms."" []"	"['pyridazines"" RELATED ChEBI_TERM [CHEBI:37921]', 'Pyridazines"" EXACT MeSH_TERM [MESH:D011724, MESH:D03.383.710]', 'pyridazines"" EXACT CHEMONT_TERM []']"	CHEMONTID:0001346	['Wikipedia:Category\\:Pyridazines']
